timestamp,sensor_id,sensor_type,sensor_value,location,alert
03-03-2025 14:15,S10,window,OPEN,garage,normal
03-03-2025 14:16,S12,door,OPEN,bathroom,normal
03-03-2025 14:16,S50,temperature,25,bedroom,normal
03-03-2025 14:16,S46,door,OPEN,backyard,normal
03-03-2025 14:17,S40,window,CLOSED,garage,normal
03-03-2025 14:17,S16,motion,ON,bedroom,normal
03-03-2025 14:17,S34,door,OPEN,front_door,normal
03-03-2025 14:20,S8,window,OPEN,backyard,normal
03-03-2025 14:20,S2,camera,IDLE,bedroom,normal
03-03-2025 14:21,S4,window,OPEN,bedroom,normal
03-03-2025 14:21,S1,door,CLOSED,kitchen,normal
03-03-2025 14:21,S16,door,CLOSED,front_door,normal
03-03-2025 14:22,S24,door,OPEN,garage,normal
03-03-2025 14:23,S33,glass_break,DETECTED,living_room,anomaly
03-03-2025 14:25,S15,camera,IDLE,living_room,normal
03-03-2025 14:26,S20,motion,OFF,bathroom,normal
03-03-2025 14:26,S24,temperature,20,living_room,normal
03-03-2025 14:27,S45,window,CLOSED,bathroom,normal
03-03-2025 14:27,S25,glass_break,NONE,garage,normal
03-03-2025 14:28,S15,door,CLOSED,front_door,normal
03-03-2025 14:29,S34,window,OPEN,bathroom,normal
03-03-2025 14:29,S13,motion,ON,front_door,normal
03-03-2025 14:30,S10,door,CLOSED,bathroom,normal
03-03-2025 14:30,S10,temperature,30,kitchen,normal
03-03-2025 14:30,S40,camera,TRIGGERED,bedroom,normal
03-03-2025 14:32,S41,camera,TRIGGERED,bathroom,normal
03-03-2025 14:32,S34,glass_break,NONE,front_door,normal
03-03-2025 14:33,S12,camera,IDLE,kitchen,normal
03-03-2025 14:33,S42,door,OPEN,living_room,normal
03-03-2025 14:34,S16,door,OPEN,living_room,normal
03-03-2025 14:34,S9,motion,OFF,front_door,normal
03-03-2025 14:36,S12,temperature,22,front_door,normal
03-03-2025 14:36,S30,motion,ON,living_room,normal
03-03-2025 14:36,S1,motion,ON,bedroom,normal
03-03-2025 14:36,S42,door,CLOSED,kitchen,normal
03-03-2025 14:37,S48,door,CLOSED,kitchen,normal
03-03-2025 14:37,S3,temperature,20,living_room,normal
03-03-2025 14:39,S8,glass_break,DETECTED,bathroom,anomaly
03-03-2025 14:41,S41,glass_break,NONE,backyard,normal
03-03-2025 14:42,S28,door,CLOSED,bedroom,normal
03-03-2025 14:43,S24,temperature,17,living_room,normal
03-03-2025 14:44,S15,motion,OFF,front_door,normal
03-03-2025 14:45,S9,glass_break,DETECTED,backyard,anomaly
03-03-2025 14:45,S7,motion,ON,bathroom,normal
03-03-2025 14:45,S16,door,CLOSED,living_room,normal
03-03-2025 14:46,S25,motion,OFF,garage,normal
03-03-2025 14:46,S45,motion,ON,front_door,normal
03-03-2025 14:47,S41,motion,OFF,living_room,normal
03-03-2025 14:47,S41,glass_break,DETECTED,front_door,anomaly
03-03-2025 14:48,S46,door,CLOSED,bathroom,normal
03-03-2025 14:49,S36,camera,IDLE,garage,normal
03-03-2025 14:50,S8,camera,IDLE,backyard,normal
03-03-2025 14:51,S2,temperature,24,bathroom,normal
03-03-2025 14:51,S25,camera,TRIGGERED,bedroom,normal
03-03-2025 14:51,S23,glass_break,DETECTED,bedroom,anomaly
03-03-2025 14:52,S17,glass_break,DETECTED,living_room,anomaly
03-03-2025 14:53,S32,camera,TRIGGERED,backyard,normal
03-03-2025 14:54,S39,camera,TRIGGERED,backyard,normal
03-03-2025 14:55,S27,temperature,29,garage,normal
03-03-2025 14:59,S40,glass_break,DETECTED,front_door,anomaly
03-03-2025 14:59,S39,motion,OFF,backyard,normal
03-03-2025 14:59,S2,door,OPEN,backyard,normal
03-03-2025 15:01,S24,temperature,18,bathroom,normal
03-03-2025 15:02,S28,temperature,30,garage,normal
03-03-2025 15:03,S33,window,CLOSED,garage,normal
03-03-2025 15:03,S4,door,OPEN,bathroom,normal
03-03-2025 15:04,S40,window,OPEN,living_room,normal
03-03-2025 15:04,S42,temperature,26,garage,normal
03-03-2025 15:05,S30,glass_break,NONE,backyard,normal
03-03-2025 15:06,S17,temperature,30,kitchen,normal
03-03-2025 15:06,S50,glass_break,NONE,front_door,normal
03-03-2025 15:06,S35,camera,IDLE,bedroom,normal
03-03-2025 15:08,S10,camera,TRIGGERED,backyard,normal
03-03-2025 15:11,S3,motion,OFF,backyard,normal
03-03-2025 15:12,S7,motion,ON,front_door,normal
03-03-2025 15:13,S32,glass_break,NONE,kitchen,normal
03-03-2025 15:14,S46,temperature,19,garage,normal
03-03-2025 15:14,S24,motion,ON,garage,normal
03-03-2025 15:16,S9,temperature,30,kitchen,normal
03-03-2025 15:16,S30,camera,IDLE,bedroom,normal
03-03-2025 15:17,S42,door,CLOSED,garage,normal
03-03-2025 15:17,S47,temperature,28,bathroom,normal
03-03-2025 15:18,S22,glass_break,NONE,garage,normal
03-03-2025 15:18,S37,camera,TRIGGERED,backyard,normal
03-03-2025 15:21,S31,window,OPEN,garage,normal
03-03-2025 15:21,S19,door,OPEN,kitchen,normal
03-03-2025 15:22,S39,motion,ON,living_room,normal
03-03-2025 15:24,S36,door,OPEN,garage,normal
03-03-2025 15:24,S44,motion,OFF,garage,normal
03-03-2025 15:26,S11,glass_break,DETECTED,living_room,anomaly
03-03-2025 15:26,S47,temperature,22,front_door,normal
03-03-2025 15:28,S29,door,OPEN,backyard,normal
03-03-2025 15:29,S41,glass_break,NONE,living_room,normal
03-03-2025 15:31,S2,camera,TRIGGERED,front_door,normal
03-03-2025 15:33,S2,motion,ON,backyard,normal
03-03-2025 15:33,S22,motion,ON,backyard,normal
03-03-2025 15:33,S11,temperature,24,front_door,normal
03-03-2025 15:34,S36,camera,IDLE,front_door,normal
03-03-2025 15:35,S30,motion,OFF,kitchen,normal
03-03-2025 15:35,S24,window,CLOSED,living_room,normal
03-03-2025 15:37,S20,camera,TRIGGERED,front_door,normal
03-03-2025 15:37,S14,door,CLOSED,backyard,normal
03-03-2025 15:39,S50,temperature,26,bedroom,normal
03-03-2025 15:40,S32,motion,ON,front_door,normal
03-03-2025 15:41,S13,door,OPEN,bathroom,normal
03-03-2025 15:41,S1,camera,TRIGGERED,bathroom,normal
03-03-2025 15:41,S35,door,CLOSED,bedroom,normal
03-03-2025 15:42,S38,camera,TRIGGERED,bedroom,normal
03-03-2025 15:42,S45,glass_break,NONE,bedroom,normal
03-03-2025 15:43,S36,camera,TRIGGERED,garage,normal
03-03-2025 15:45,S7,camera,TRIGGERED,bathroom,normal
03-03-2025 15:46,S11,motion,ON,garage,normal
03-03-2025 15:47,S43,glass_break,DETECTED,garage,anomaly
03-03-2025 15:47,S15,motion,ON,bathroom,normal
03-03-2025 15:48,S22,camera,IDLE,backyard,normal
03-03-2025 15:50,S23,window,OPEN,front_door,normal
03-03-2025 15:50,S4,temperature,23,kitchen,normal
03-03-2025 15:51,S27,temperature,15,front_door,normal
03-03-2025 15:52,S17,motion,OFF,front_door,normal
03-03-2025 15:53,S24,window,OPEN,bedroom,normal
03-03-2025 15:53,S11,temperature,25,garage,normal
03-03-2025 15:53,S27,motion,ON,garage,normal
03-03-2025 15:54,S33,temperature,23,living_room,normal
03-03-2025 15:55,S47,glass_break,DETECTED,backyard,anomaly
03-03-2025 15:55,S18,camera,TRIGGERED,backyard,normal
03-03-2025 15:56,S16,door,CLOSED,bedroom,normal
03-03-2025 15:56,S48,window,OPEN,bathroom,normal
03-03-2025 15:57,S17,window,CLOSED,front_door,normal
03-03-2025 15:57,S18,door,CLOSED,bedroom,normal
03-03-2025 15:59,S49,door,CLOSED,bathroom,normal
03-03-2025 15:59,S10,glass_break,DETECTED,kitchen,anomaly
03-03-2025 16:01,S46,camera,IDLE,front_door,normal
03-03-2025 16:03,S16,glass_break,DETECTED,living_room,anomaly
03-03-2025 16:04,S20,glass_break,DETECTED,bedroom,anomaly
03-03-2025 16:06,S35,window,CLOSED,bedroom,normal
03-03-2025 16:06,S41,window,CLOSED,living_room,normal
03-03-2025 16:06,S49,window,OPEN,bathroom,normal
03-03-2025 16:07,S14,door,OPEN,garage,normal
03-03-2025 16:07,S28,window,OPEN,garage,normal
03-03-2025 16:07,S43,temperature,18,backyard,normal
03-03-2025 16:07,S6,temperature,16,bedroom,normal
03-03-2025 16:08,S30,camera,TRIGGERED,bedroom,normal
03-03-2025 16:09,S23,camera,IDLE,bedroom,normal
03-03-2025 16:10,S48,door,OPEN,bathroom,normal
03-03-2025 16:11,S44,window,OPEN,kitchen,normal
03-03-2025 16:11,S29,motion,OFF,living_room,normal
03-03-2025 16:12,S42,glass_break,NONE,kitchen,normal
03-03-2025 16:12,S34,motion,ON,backyard,normal
03-03-2025 16:15,S46,motion,OFF,living_room,normal
03-03-2025 16:16,S24,camera,IDLE,kitchen,normal
03-03-2025 16:16,S14,temperature,16,front_door,normal
03-03-2025 16:17,S36,window,OPEN,backyard,normal
03-03-2025 16:17,S44,camera,TRIGGERED,front_door,normal
03-03-2025 16:18,S26,door,CLOSED,bathroom,normal
03-03-2025 16:19,S36,camera,TRIGGERED,bedroom,normal
03-03-2025 16:22,S36,glass_break,DETECTED,front_door,anomaly
03-03-2025 16:23,S38,temperature,30,bedroom,normal
03-03-2025 16:25,S35,door,CLOSED,kitchen,normal
03-03-2025 16:26,S33,motion,OFF,front_door,normal
03-03-2025 16:29,S9,glass_break,DETECTED,front_door,anomaly
03-03-2025 16:29,S36,glass_break,NONE,kitchen,normal
03-03-2025 16:29,S28,window,OPEN,bedroom,normal
03-03-2025 16:31,S30,door,CLOSED,kitchen,normal
03-03-2025 16:31,S8,temperature,16,front_door,normal
03-03-2025 16:31,S32,temperature,25,bedroom,normal
03-03-2025 16:33,S39,motion,OFF,bedroom,normal
03-03-2025 16:33,S14,motion,ON,living_room,normal
03-03-2025 16:33,S28,window,CLOSED,bedroom,normal
03-03-2025 16:33,S28,motion,OFF,garage,normal
03-03-2025 16:35,S20,glass_break,NONE,front_door,normal
03-03-2025 16:35,S46,glass_break,NONE,bedroom,normal
03-03-2025 16:36,S10,motion,ON,backyard,normal
03-03-2025 16:38,S41,motion,OFF,bedroom,normal
03-03-2025 16:38,S10,glass_break,DETECTED,bathroom,anomaly
03-03-2025 16:40,S32,temperature,16,garage,normal
03-03-2025 16:42,S12,door,CLOSED,kitchen,normal
03-03-2025 16:42,S25,motion,OFF,bathroom,normal
03-03-2025 16:42,S18,camera,IDLE,garage,normal
03-03-2025 16:43,S18,door,CLOSED,bedroom,normal
03-03-2025 16:43,S6,motion,OFF,backyard,normal
03-03-2025 16:43,S5,camera,TRIGGERED,bathroom,normal
03-03-2025 16:45,S50,glass_break,DETECTED,living_room,anomaly
03-03-2025 16:45,S40,motion,OFF,kitchen,normal
03-03-2025 16:46,S29,motion,ON,bedroom,normal
03-03-2025 16:46,S5,temperature,25,bathroom,normal
03-03-2025 16:47,S19,temperature,30,kitchen,normal
03-03-2025 16:47,S32,glass_break,NONE,garage,normal
03-03-2025 16:49,S42,temperature,28,living_room,normal
03-03-2025 16:49,S17,door,CLOSED,front_door,normal
03-03-2025 16:50,S13,motion,OFF,garage,normal
03-03-2025 16:51,S39,temperature,24,living_room,normal
03-03-2025 16:51,S33,glass_break,DETECTED,kitchen,anomaly
03-03-2025 16:52,S28,motion,OFF,garage,normal
03-03-2025 16:53,S18,window,OPEN,front_door,normal
03-03-2025 16:53,S48,camera,IDLE,garage,normal
03-03-2025 16:55,S4,temperature,20,backyard,normal
03-03-2025 16:57,S3,temperature,26,bedroom,normal
03-03-2025 16:57,S18,temperature,15,garage,normal
03-03-2025 16:58,S13,glass_break,NONE,front_door,normal
03-03-2025 17:00,S46,glass_break,DETECTED,backyard,anomaly
03-03-2025 17:02,S28,window,OPEN,bedroom,normal
03-03-2025 17:02,S28,temperature,22,kitchen,normal
03-03-2025 17:03,S50,camera,IDLE,bedroom,normal
03-03-2025 17:05,S16,temperature,22,kitchen,normal
03-03-2025 17:08,S3,door,CLOSED,backyard,normal
03-03-2025 17:08,S22,window,CLOSED,bedroom,normal
03-03-2025 17:09,S23,motion,OFF,bathroom,normal
03-03-2025 17:09,S12,glass_break,NONE,backyard,normal
03-03-2025 17:09,S24,glass_break,NONE,garage,normal
03-03-2025 17:10,S28,temperature,15,garage,normal
03-03-2025 17:11,S2,glass_break,DETECTED,front_door,anomaly
03-03-2025 17:11,S20,window,CLOSED,bedroom,normal
03-03-2025 17:12,S33,camera,IDLE,bedroom,normal
03-03-2025 17:12,S46,window,CLOSED,garage,normal
03-03-2025 17:13,S11,motion,OFF,garage,normal
03-03-2025 17:13,S14,motion,OFF,bedroom,normal
03-03-2025 17:13,S41,motion,OFF,living_room,normal
03-03-2025 17:15,S28,camera,IDLE,front_door,normal
03-03-2025 17:15,S21,motion,ON,kitchen,normal
03-03-2025 17:16,S7,glass_break,NONE,front_door,normal
03-03-2025 17:17,S27,motion,ON,bedroom,normal
03-03-2025 17:17,S8,glass_break,DETECTED,living_room,anomaly
03-03-2025 17:18,S42,motion,ON,front_door,normal
03-03-2025 17:20,S6,temperature,16,backyard,normal
03-03-2025 17:21,S31,window,CLOSED,kitchen,normal
03-03-2025 17:22,S35,camera,TRIGGERED,bedroom,normal
03-03-2025 17:23,S12,window,OPEN,front_door,normal
03-03-2025 17:24,S46,door,CLOSED,bedroom,normal
03-03-2025 17:25,S2,temperature,27,living_room,normal
03-03-2025 17:25,S22,glass_break,DETECTED,garage,anomaly
03-03-2025 17:25,S42,door,CLOSED,bedroom,normal
03-03-2025 17:26,S43,glass_break,DETECTED,backyard,anomaly
03-03-2025 17:29,S24,temperature,15,living_room,normal
03-03-2025 17:30,S17,glass_break,NONE,front_door,normal
03-03-2025 17:31,S23,glass_break,NONE,kitchen,normal
03-03-2025 17:32,S17,glass_break,NONE,front_door,normal
03-03-2025 17:34,S13,door,CLOSED,bathroom,normal
03-03-2025 17:35,S45,temperature,21,living_room,normal
03-03-2025 17:36,S34,glass_break,DETECTED,front_door,anomaly
03-03-2025 17:37,S43,window,CLOSED,bathroom,normal
03-03-2025 17:37,S26,window,OPEN,kitchen,normal
03-03-2025 17:39,S47,window,CLOSED,front_door,normal
03-03-2025 17:40,S35,camera,TRIGGERED,front_door,normal
03-03-2025 17:41,S50,window,OPEN,kitchen,normal
03-03-2025 17:43,S34,camera,TRIGGERED,backyard,normal
03-03-2025 17:43,S5,glass_break,NONE,garage,normal
03-03-2025 17:43,S48,window,OPEN,kitchen,normal
03-03-2025 17:43,S23,glass_break,NONE,garage,normal
03-03-2025 17:43,S39,motion,ON,backyard,normal
03-03-2025 17:44,S33,temperature,24,bedroom,normal
03-03-2025 17:44,S22,door,CLOSED,kitchen,normal
03-03-2025 17:46,S38,camera,IDLE,garage,normal
03-03-2025 17:47,S47,motion,OFF,front_door,normal
03-03-2025 17:48,S47,door,CLOSED,bathroom,normal
03-03-2025 17:48,S5,motion,ON,bathroom,normal
03-03-2025 17:49,S37,door,OPEN,garage,normal
03-03-2025 17:49,S16,temperature,24,kitchen,normal
03-03-2025 17:50,S17,camera,IDLE,garage,normal
03-03-2025 17:51,S6,camera,TRIGGERED,backyard,normal
03-03-2025 17:53,S37,camera,IDLE,garage,normal
03-03-2025 17:55,S28,door,CLOSED,living_room,normal
03-03-2025 17:56,S33,temperature,23,kitchen,normal
03-03-2025 18:00,S20,temperature,24,bedroom,normal
03-03-2025 18:00,S40,camera,TRIGGERED,garage,normal
03-03-2025 18:02,S36,camera,IDLE,living_room,normal
03-03-2025 18:02,S19,window,OPEN,kitchen,normal
03-03-2025 18:03,S19,window,OPEN,garage,normal
03-03-2025 18:05,S48,glass_break,NONE,backyard,normal
03-03-2025 18:05,S10,door,OPEN,backyard,normal
03-03-2025 18:05,S6,door,CLOSED,living_room,normal
03-03-2025 18:06,S38,glass_break,NONE,living_room,normal
03-03-2025 18:06,S33,door,OPEN,bathroom,normal
03-03-2025 18:07,S49,camera,IDLE,bathroom,normal
03-03-2025 18:07,S36,glass_break,DETECTED,kitchen,anomaly
03-03-2025 18:10,S8,window,CLOSED,bathroom,normal
03-03-2025 18:11,S31,door,OPEN,living_room,normal
03-03-2025 18:11,S26,motion,ON,living_room,normal
03-03-2025 18:11,S6,door,OPEN,bathroom,normal
03-03-2025 18:12,S30,door,OPEN,bedroom,normal
03-03-2025 18:12,S9,glass_break,NONE,front_door,normal
03-03-2025 18:13,S50,motion,ON,living_room,normal
03-03-2025 18:14,S25,motion,OFF,living_room,normal
03-03-2025 18:15,S40,window,OPEN,bathroom,normal
03-03-2025 18:15,S17,camera,IDLE,bedroom,normal
03-03-2025 18:16,S43,motion,ON,living_room,normal
03-03-2025 18:18,S23,camera,IDLE,bedroom,normal
03-03-2025 18:19,S6,motion,OFF,living_room,normal
03-03-2025 18:19,S11,window,CLOSED,bathroom,normal
03-03-2025 18:20,S3,temperature,15,backyard,normal
03-03-2025 18:21,S27,temperature,22,living_room,normal
03-03-2025 18:21,S42,temperature,26,bathroom,normal
03-03-2025 18:21,S36,motion,OFF,front_door,normal
03-03-2025 18:22,S13,window,OPEN,living_room,normal
03-03-2025 18:23,S17,glass_break,NONE,backyard,normal
03-03-2025 18:23,S29,motion,OFF,garage,normal
03-03-2025 18:24,S34,camera,IDLE,backyard,normal
03-03-2025 18:29,S4,temperature,16,front_door,normal
03-03-2025 18:30,S37,motion,OFF,front_door,normal
03-03-2025 18:31,S4,motion,ON,backyard,normal
03-03-2025 18:31,S36,glass_break,DETECTED,bathroom,anomaly
03-03-2025 18:33,S44,motion,OFF,front_door,normal
03-03-2025 18:34,S7,window,CLOSED,bathroom,normal
03-03-2025 18:35,S28,camera,TRIGGERED,bedroom,normal
03-03-2025 18:37,S50,camera,IDLE,garage,normal
03-03-2025 18:39,S19,glass_break,DETECTED,front_door,anomaly
03-03-2025 18:41,S41,door,OPEN,bathroom,normal
03-03-2025 18:41,S26,motion,OFF,bedroom,normal
03-03-2025 18:41,S26,window,CLOSED,backyard,normal
03-03-2025 18:42,S5,camera,TRIGGERED,bathroom,normal
03-03-2025 18:43,S23,temperature,26,garage,normal
03-03-2025 18:45,S41,motion,OFF,front_door,normal
03-03-2025 18:47,S26,motion,OFF,garage,normal
03-03-2025 18:47,S21,motion,ON,bathroom,normal
03-03-2025 18:48,S22,glass_break,NONE,living_room,normal
03-03-2025 18:50,S16,camera,IDLE,bedroom,normal
03-03-2025 18:51,S19,window,OPEN,bedroom,normal
03-03-2025 18:53,S11,window,OPEN,garage,normal
03-03-2025 18:53,S25,door,CLOSED,bathroom,normal
03-03-2025 18:53,S10,glass_break,DETECTED,front_door,anomaly
03-03-2025 18:58,S46,glass_break,NONE,front_door,normal
03-03-2025 18:59,S30,motion,ON,living_room,normal
03-03-2025 18:59,S5,door,OPEN,front_door,normal
03-03-2025 19:00,S34,window,OPEN,garage,normal
03-03-2025 19:01,S45,glass_break,NONE,bathroom,normal
03-03-2025 19:05,S15,window,OPEN,garage,normal
03-03-2025 19:05,S26,glass_break,NONE,bathroom,normal
03-03-2025 19:06,S15,door,CLOSED,living_room,normal
03-03-2025 19:07,S10,camera,IDLE,backyard,normal
03-03-2025 19:07,S10,glass_break,NONE,kitchen,normal
03-03-2025 19:09,S48,glass_break,NONE,front_door,normal
03-03-2025 19:10,S26,camera,IDLE,bathroom,normal
03-03-2025 19:11,S36,door,CLOSED,living_room,normal
